"book_id","user_id","rating"
"1180","1","4"
"4893","1","3"
"6285","1","4"
"8034","2","4"
"8855","2","5"
"9049","3","1"
"3469","4","5"
"8464","4","5"
"4829","5","3"
"6646","5","4"
"6703","5","4"
"7487","5","5"
"8072","5","5"
"7341","6","4"
"8033","6","5"
"585","7","4"
"910","7","4"
"956","7","5"
"1071","7","4"
"1199","7","4"
"1464","7","5"
"1484","7","5"
"1536","7","4"
"1620","7","5"
"1646","7","3"
"1801","7","5"
"1873","7","4"
"1918","7","3"
"1923","7","4"
"1969","7","5"
"1991","7","4"
"2045","7","3"
"2084","7","5"
"2102","7","4"
"2129","7","5"
"2189","7","3"
"2241","7","2"
"2325","7","4"
"2470","7","3"
"2487","7","5"
"2491","7","1"
"2564","7","3"
"2693","7","4"
"2766","7","4"
"2782","7","4"
"2931","7","4"
"2969","7","4"
"3111","7","4"
"3137","7","3"
"3246","7","4"
"3247","7","4"
"3314","7","5"
"3672","7","4"
"3797","7","2"
"3884","7","3"
"4101","7","3"
"4190","7","5"
"4459","7","4"
"4574","7","4"
"4726","7","4"
"4885","7","4"
"4944","7","2"
"4964","7","4"
"5047","7","4"
"5332","7","4"
"5341","7","5"
"5388","7","3"
"6152","7","4"
"6444","7","4"
"6445","7","4"
"6701","7","3"
"7003","7","4"
"7128","7","4"
"7217","7","4"
"7325","7","3"
"7377","7","4"
"7490","7","3"
"7807","7","1"
"7814","7","4"
"7904","7","2"
"8320","7","5"
"8413","7","3"
"8432","7","4"
"8654","7","5"
"9103","7","3"
"8312","8","5"
"9114","8","5"
"9991","8","1"
"4394","9","3"
"4788","9","4"
"5908","9","3"
"6777","9","3"
"7285","9","3"
"7868","9","2"
"1506","10","4"
"2833","10","4"
"3409","10","5"
"3946","10","5"
"4531","10","4"
"5926","10","2"
